hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap
Valico di fusine;Cave del predil;11235.496394430202;13;914;919.7122802734375;5.7122802734375
Pocenia zona industriale;Cervignano - scodovacca;19876.273329901913;21;6;5.951496601104736;0.04850339889526367
Castions di strada;Cervignano - scodovacca;16370.385431285506;16;6;20.14171028137207;14.14171028137207
Cormor paradiso;Cervignano - scodovacca;17486.504687022985;19;6;11.960711479187012;5.960711479187012
Sant'andrat del cormor;Cervignano - scodovacca;19016.154705673856;21;6;22.43624496459961;16.43624496459961
Zavattina;Cervignano - scodovacca;16255.622629293799;20;6;6.220213413238525;0.2202134132385254
Muzzana del turgnano ponte ss 14;Cervignano - scodovacca;18573.236535177297;26;6;3.7311344146728516;2.2688655853271484
Ponte ss 252 km 13;Cervignano - scodovacca;19564.407444129196;21;6;26.271743774414062;20.271743774414062
Ponte ss 252 km 14;Cervignano - scodovacca;18214.841015868828;21;6;26.311248779296875;20.311248779296875
Zellina;Cervignano - scodovacca;15252.05631378697;19;6;5.650354385375977;0.34964561462402344
Zellina ponte ferrovia;Cervignano - scodovacca;15129.382222125496;16;6;5.650354385375977;0.34964561462402344
Fauglis;Cervignano - scodovacca;10915.654760609268;21;6;17.458444595336914;11.458444595336914
Chiarisacco;Cervignano - scodovacca;11885.798024025331;16;6;4.510447978973389;1.4895520210266113
San giorgio di nogaro;Cervignano - scodovacca;12470.817349581092;19;6;5.442806243896484;0.5571937561035156
San giorgio di nogaro cimitero;Cervignano - scodovacca;12620.711679064229;25;6;4.7517523765563965;1.2482476234436035
Planais;Cervignano - scodovacca;11231.255627249484;20;6;-0.07753685861825943;6.077536858618259
Sevegliano;Cervignano - scodovacca;8980.939053314345;18;6;16.583078384399414;10.583078384399414
Torviscosa case savoiano;Cervignano - scodovacca;9597.74953660161;18;6;1.6187635660171509;4.381236433982849
Torviscosa molino;Cervignano - scodovacca;6862.99486182208;17;6;3.627873420715332;2.372126579284668
Torviscosa ponte ferrovia;Cervignano - scodovacca;6079.725654564087;18;6;2.5879039764404297;3.4120960235595703
Tre ponti;Cervignano - scodovacca;4900.526616727767;20;6;0.11979803442955017;5.88020196557045
Muscoli;Cervignano - scodovacca;3158.4771057968537;20;6;2.1789941787719727;3.8210058212280273
Muscoli via san zenone;Cervignano - scodovacca;2613.867375149309;21;6;2.1789941787719727;3.8210058212280273
Cervignano floricoltura vrech;Cervignano - scodovacca;1749.399871915365;14;6;3.4289660453796387;2.5710339546203613
Castions delle mure casali fabbrica;Cervignano - scodovacca;4881.791091193647;26;6;1.4943509101867676;4.505649089813232
Torviscosa;Cervignano - scodovacca;7238.38864423759;16;6;2.9870262145996094;3.0129737854003906
Visco;Cervignano - scodovacca;7997.20899548562;19;6;20.478994369506836;14.478994369506836
Belvat;Cervignano - scodovacca;6134.839957172419;20;6;-1.075460433959961;7.075460433959961
Cervignano;Cervignano - scodovacca;2218.181270070002;13;6;3.2710282802581787;2.7289717197418213
Gris cuccana;Cervignano - scodovacca;16418.627646388275;17;6;37.09934997558594;31.099349975585938
Palmanova;Cervignano - scodovacca;11344.41359703192;18;6;26.880163192749023;20.880163192749023
Trivignano udinese;Cervignano - scodovacca;14245.205936405966;14;6;41.905914306640625;35.905914306640625
Lauzacco;Cervignano - scodovacca;18576.06726928136;19;6;55.54144287109375;49.54144287109375
Ialmicco sede protezione civile regionale;Cervignano - scodovacca;10241.007059526597;35;6;26.88026237487793;20.88026237487793
Aquileia idrovora ca' padovano;Cervignano - scodovacca;8468.779691974249;23;6;-0.20078884065151215;6.200788840651512
Scodovacca;Cervignano - scodovacca;253.6011237599804;14;6;4.342519760131836;1.657480239868164
Borgo modena;Cervignano - scodovacca;1073.2827853986594;16;6;4.265965461730957;1.734034538269043
Case polzin;Cervignano - scodovacca;1695.9705008744504;19;6;0.8759349584579468;5.124065041542053
Malborghetto di cervignano;Cervignano - scodovacca;1950.8989666966556;21;6;0;6
Ca' viola;Cervignano - scodovacca;9672.28374121314;18;6;-1;7
Marano lagunare colomba;Cervignano - scodovacca;14787.79963830144;18;6;0;6
Ca' anfora;Cervignano - scodovacca;8119.642188713749;18;6;-2.7816812992095947;8.781681299209595
Grado sede g.i.t.;Cervignano - scodovacca;16373.701464569132;19;6;0.4218692481517792;5.578130751848221
Grado molo torpediniere;Cervignano - scodovacca;15554.808842575743;20;6;0.6536489725112915;5.3463510274887085
Grado valle cavarera;Cervignano - scodovacca;15697.226674023608;18;6;0.6634598970413208;5.336540102958679
Mainizza;Cervignano - scodovacca;17512.18434387611;20;6;36.78827667236328;30.78827667236328
Farra d'isonzo m. fortin;Cervignano - scodovacca;16057.686047517724;21;6;51.71792984008789;45.71792984008789
Gradisca d'isonzo;Cervignano - scodovacca;12160.261808464897;19;6;28.20496368408203;22.20496368408203
Gradisca d'isonzo ponte pedonale;Cervignano - scodovacca;12756.967226110417;25;6;41.525821685791016;35.525821685791016
Gradisca d'isonzo casello idraulico;Cervignano - scodovacca;12242.487355139578;26;6;28.20496368408203;22.20496368408203
Sagrado ponte ss 305;Cervignano - scodovacca;11013.467338452403;19;6;23.534893035888672;17.534893035888672
Ruda cimitero;Cervignano - scodovacca;2971.246268635643;20;6;8.37320327758789;2.3732032775878906
Turriaco;Cervignano - scodovacca;4855.424012661526;18;6;6.438595294952393;0.4385952949523926
Pieris ponte ss 14;Cervignano - scodovacca;5130.7007938083;19;6;5.44204044342041;0.5579595565795898
Fiumicello;Cervignano - scodovacca;6888.229128920738;21;6;0;6
Isola morosini ex magazzino tabacco;Cervignano - scodovacca;8316.995261018565;28;6;0.3983982503414154;5.601601749658585
Isola morosini idrovora terranova;Cervignano - scodovacca;11490.8770840051;27;6;-0.651797890663147;6.651797890663147
Fossalon bonifica vittoria;Cervignano - scodovacca;14018.48528712669;22;6;-1;7
Villa vicentina via sant'antonio;Cervignano - scodovacca;2853.09929254796;25;6;4.834527015686035;1.1654729843139648
Viscone;Cervignano - scodovacca;11385.334942199022;19;6;33.00700378417969;27.007003784179688
Tapogliano ex ponte ss 252;Cervignano - scodovacca;8375.64914858249;21;6;20.637659072875977;14.637659072875977
Villesse ponte ss 351;Cervignano - scodovacca;5121.508923898337;22;6;12.620546340942383;6.620546340942383
Versa ponte ss 252;Cervignano - scodovacca;9377.002687319118;18;6;22.48201560974121;16.48201560974121
Capriva localita' la baita;Cervignano - scodovacca;17785.31636047924;21;6;53.29371643066406;47.29371643066406
La baita ponte;Cervignano - scodovacca;17723.022643326723;20;6;53.29371643066406;47.29371643066406
Fratta;Cervignano - scodovacca;11014.10960922966;20;6;23.620899200439453;17.620899200439453
Mariano del friuli;Cervignano - scodovacca;12919.904222097097;17;6;31.00920295715332;25.00920295715332
Versa;Cervignano - scodovacca;8607.689895679414;19;6;23.13545799255371;17.13545799255371
Savogna d'isonzo ponte ferrovia;Cervignano - scodovacca;17825.94274137497;23;6;46.73778533935547;40.73778533935547
Savogna d'isonzo ponte sp 8;Cervignano - scodovacca;17826.695708547028;22;6;46.73778533935547;40.73778533935547
Monfalcone;Cervignano - scodovacca;13249.120816825061;20;6;4.997217178344727;1.0027828216552734
Alberoni idrovora sacchetti;Cervignano - scodovacca;12313.228183744997;22;6;-0.009229229763150215;6.00922922976315
Monfalcone piscina comunale;Cervignano - scodovacca;11511.999726833907;22;6;0.9136075377464294;5.086392462253571
Case zoncolan;Cervignano del friuli;19986.89309791965;18;8;10.054102897644043;2.054102897644043
Ariis;Cervignano del friuli;19516.357045580007;18;8;10.054102897644043;2.054102897644043
Ariis cimitero;Cervignano del friuli;18979.300933729206;17;8;9.479960441589355;1.4799604415893555
Ariis parco;Cervignano del friuli;19832.999943759376;17;8;10.054102897644043;2.054102897644043
Ariis centro e.t.p.;Cervignano del friuli;19861.082096729402;18;8;10.054102897644043;2.054102897644043
Casali sacile;Cervignano del friuli;19898.409683903436;16;8;7.9696431159973145;0.030356884002685547
Casali petazzo;Cervignano del friuli;18146.925502200153;17;8;7.9478759765625;0.0521240234375
Pocenia;Cervignano del friuli;19571.452239330476;18;8;5.05306339263916;2.94693660736084
Case trevisan;Cervignano del friuli;18707.962363062205;17;8;2.4833574295043945;5.5166425704956055
Casali gambellini;Cervignano del friuli;18873.808627529394;15;8;5.7831902503967285;2.2168097496032715
Pocenia zona industriale;Cervignano del friuli;17497.052611266867;18;8;5.951496601104736;2.0485033988952637
Lestizza;Cervignano del friuli;19327.138604404558;18;8;38.815711975097656;30.815711975097656
Talmassons;Cervignano del friuli;19306.935740703902;19;8;25.050640106201172;17.050640106201172
Casello f.s.;Cervignano del friuli;18695.699030882555;17;8;2.4833574295043945;5.5166425704956055
Casa longo;Cervignano del friuli;18644.632833856358;17;8;2.4833574295043945;5.5166425704956055
Mortegliano;Cervignano del friuli;16370.420021296966;17;8;42.066070556640625;34.066070556640625
Castions di strada;Cervignano del friuli;12718.294328026037;15;8;20.14171028137207;12.14171028137207
Cormor paradiso;Cervignano del friuli;14253.741144187281;17;8;11.960711479187012;3.9607114791870117
Sant'andrat del cormor;Cervignano del friuli;15397.47426279427;16;8;22.43624496459961;14.43624496459961
Zavattina;Cervignano del friuli;13884.871875617597;18;8;6.220213413238525;1.7797865867614746
Muzzana del turgnano ponte ss 14;Cervignano del friuli;16496.59623977425;25;8;3.7311344146728516;4.268865585327148
Ponte ss 252 km 13;Cervignano del friuli;15854.296258113658;19;8;26.271743774414062;18.271743774414062
Ponte ss 252 km 14;Cervignano del friuli;14482.639932817689;19;8;26.311248779296875;18.311248779296875
Zellina;Cervignano del friuli;12975.044631243456;17;8;5.650354385375977;2.3496456146240234
Zellina ponte ferrovia;Cervignano del friuli;12926.321756270923;14;8;5.650354385375977;2.3496456146240234
Fauglis;Cervignano del friuli;7115.680503714719;18;8;17.458444595336914;9.458444595336914
Chiarisacco;Cervignano del friuli;9396.048500920679;18;8;4.510447978973389;3.4895520210266113
San giorgio di nogaro;Cervignano del friuli;9967.81323304778;17;8;5.442806243896484;2.5571937561035156
San giorgio di nogaro cimitero;Cervignano del friuli;10220.914400150696;24;8;4.7517523765563965;3.2482476234436035
Planais;Cervignano del friuli;11249.813863793386;18;8;-0.07753685861825943;8.07753685861826
Sevegliano;Cervignano del friuli;5118.7135759152015;16;8;16.583078384399414;8.583078384399414
Torviscosa case savoiano;Cervignano del friuli;7561.826438528005;18;8;1.6187635660171509;6.381236433982849
Torviscosa molino;Cervignano del friuli;4971.308486132255;15;8;3.627873420715332;4.372126579284668
Torviscosa ponte ferrovia;Cervignano del friuli;4474.934433879226;16;8;2.5879039764404297;5.41209602355957
Tre ponti;Cervignano del friuli;3512.658116257368;17;8;0.11979803442955017;7.88020196557045
Muscoli;Cervignano del friuli;1600.474221926427;18;8;2.1789941787719727;5.821005821228027
Muscoli via san zenone;Cervignano del friuli;1557.570846021924;20;8;2.1789941787719727;5.821005821228027
Cervignano floricoltura vrech;Cervignano del friuli;2929.3328730868234;16;8;3.4289660453796387;4.571033954620361
Castions delle mure casali fabbrica;Cervignano del friuli;2120.2648508681136;26;8;1.4943509101867676;6.505649089813232
Torviscosa;Cervignano del friuli;5883.6170481986655;17;8;2.9870262145996094;5.012973785400391
Visco;Cervignano del friuli;4860.674657508844;19;8;20.478994369506836;12.478994369506836
Belvat;Cervignano del friuli;6208.133842465924;18;8;-1.075460433959961;9.075460433959961
Cervignano;Cervignano del friuli;3706.552863088229;11;8;3.2710282802581787;4.728971719741821
Gris cuccana;Cervignano del friuli;12554.195464361374;18;8;37.09934997558594;29.099349975585938
Palmanova;Cervignano del friuli;7586.76483603194;18;8;26.880163192749023;18.880163192749023
Trivignano udinese;Cervignano del friuli;11074.323649479602;13;8;41.905914306640625;33.905914306640625
Lauzacco;Cervignano del friuli;14950.074451048631;20;8;55.54144287109375;47.54144287109375
Ialmicco sede protezione civile regionale;Cervignano del friuli;6872.984764789326;33;8;26.88026237487793;18.88026237487793
Aquileia idrovora ca' padovano;Cervignano del friuli;11462.483077878589;25;8;-0.20078884065151215;8.200788840651512
Scodovacca;Cervignano del friuli;4118.056301295542;19;8;4.342519760131836;3.657480239868164
Borgo modena;Cervignano del friuli;4830.7173148958855;16;8;4.265965461730957;3.734034538269043
Case polzin;Cervignano del friuli;5101.528644474721;16;8;0.8759349584579468;7.124065041542053
Malborghetto di cervignano;Cervignano del friuli;5403.1094218557055;20;8;0;8
Ca' viola;Cervignano del friuli;13423.041682186287;16;8;-1;9
Marano lagunare colomba;Cervignano del friuli;14060.120608803389;20;8;0;8
Ca' anfora;Cervignano del friuli;10102.070164541034;17;8;-2.7816812992095947;10.781681299209595
Grado sede g.i.t.;Cervignano del friuli;19763.64874979856;15;8;0.4218692481517792;7.578130751848221
Grado molo torpediniere;Cervignano del friuli;18862.565191740385;20;8;0.6536489725112915;7.3463510274887085
Grado valle cavarera;Cervignano del friuli;19287.532997251543;19;8;0.6634598970413208;7.336540102958679
Mainizza;Cervignano del friuli;18370.07199113228;18;8;36.78827667236328;28.78827667236328
Farra d'isonzo m. fortin;Cervignano del friuli;16677.164712672995;19;8;51.71792984008789;43.71792984008789
Gradisca d'isonzo;Cervignano del friuli;13038.990355761256;17;8;28.20496368408203;20.20496368408203
Gradisca d'isonzo ponte pedonale;Cervignano del friuli;13679.771135862393;25;8;41.525821685791016;33.525821685791016
Gradisca d'isonzo casello idraulico;Cervignano del friuli;13204.474460254924;23;8;28.20496368408203;20.20496368408203
Sagrado ponte ss 305;Cervignano del friuli;11950.816103977791;18;8;23.534893035888672;15.534893035888672
Ruda cimitero;Cervignano del friuli;5560.490484738083;19;8;8.37320327758789;0.3732032775878906
Turriaco;Cervignano del friuli;8121.907804815366;17;8;6.438595294952393;1.5614047050476074
Pieris ponte ss 14;Cervignano del friuli;8707.09580558441;16;8;5.44204044342041;2.55795955657959
Fiumicello;Cervignano del friuli;10672.04566342835;17;8;0;8
Isola morosini ex magazzino tabacco;Cervignano del friuli;12177.119054222809;31;8;0.3983982503414154;7.601601749658585
Isola morosini idrovora terranova;Cervignano del friuli;15323.529333866505;28;8;-0.651797890663147;8.651797890663147
Fossalon bonifica vittoria;Cervignano del friuli;17863.644608933322;22;8;-1;9
Villa vicentina via sant'antonio;Cervignano del friuli;6596.085468315598;25;8;4.834527015686035;3.165472984313965
Viscone;Cervignano del friuli;8946.178427649636;18;8;33.00700378417969;25.007003784179688
Tapogliano ex ponte ss 252;Cervignano del friuli;7271.415872535759;21;8;20.637659072875977;12.637659072875977
Villesse ponte ss 351;Cervignano del friuli;6446.913302116351;19;8;12.620546340942383;4.620546340942383
Versa ponte ss 252;Cervignano del friuli;8523.978019545675;16;8;22.48201560974121;14.482015609741211
Capriva localita' la baita;Cervignano del friuli;17391.351971595846;20;8;53.29371643066406;45.29371643066406
La baita ponte;Cervignano del friuli;17317.612331441676;19;8;53.29371643066406;45.29371643066406
Fratta;Cervignano del friuli;10220.609930622488;19;8;23.620899200439453;15.620899200439453
Mariano del friuli;Cervignano del friuli;12211.17996787396;5;8;31.00920295715332;23.00920295715332
Versa;Cervignano del friuli;7456.490085985656;18;8;23.13545799255371;15.135457992553711
Rupa ponte ss 55;Cervignano del friuli;19977.3808015387;18;8;57.845272064208984;49.845272064208984
Savogna d'isonzo ponte ferrovia;Cervignano del friuli;18917.868355277034;21;8;46.73778533935547;38.73778533935547
Savogna d'isonzo ponte sp 8;Cervignano del friuli;18872.72243824733;21;8;46.73778533935547;38.73778533935547
Monfalcone;Cervignano del friuli;16272.206496603923;19;8;4.997217178344727;3.0027828216552734
Alberoni idrovora sacchetti;Cervignano del friuli;15847.331207243471;21;8;-0.009229229763150215;8.00922922976315
Monfalcone piscina comunale;Cervignano del friuli;14798.518321704258;22;8;0.9136075377464294;7.086392462253571
Tramonti di sotto scuole nuove;Chievolis;6659.306954087947;27;345;392.0475769042969;47.047576904296875
Ponte racli;Chievolis;1921.6939102296153;9;345;358.5740661621094;13.574066162109375
Preplans;Chievolis;5062.900663128483;7;345;317.1380920410156;27.861907958984375
Cavasso nuovo;Chievolis;6553.270520294602;11;345;350.1836242675781;5.183624267578125
Castellerio;Cividale del friuli;18518.548357237287;13;127;153.6357421875;26.6357421875
Pagnacco;Cividale del friuli;17708.637337086268;18;127;139.8948516845703;12.894851684570312
Colugna;Cividale del friuli;17666.141083581144;17;127;124.73239135742188;2.267608642578125
Rizzi;Cividale del friuli;17138.82865963947;17;127;117.85282897949219;9.1471710205078125
Udine castello;Cividale del friuli;14300.302144421481;15;127;114.83202362060547;12.167976379394531
Pasian di prato;Cividale del friuli;18872.62720138615;13;127;101.91656494140625;25.08343505859375
Tavagnacco;Cividale del friuli;16655.108966719243;17;127;154.57325744628906;27.573257446289062
Basaldella di campoformido;Cividale del friuli;17432.38399019286;20;127;85.4479751586914;41.552024841308594
Tricesimo;Cividale del friuli;17795.442315156746;16;127;175.9977569580078;48.99775695800781
Adegliacco;Cividale del friuli;15307.527836208868;16;127;136.69041442871094;9.6904144287109375
Feletto umberto;Cividale del friuli;15013.486395860013;17;127;130.2279510498047;3.2279510498046875
Zompitta borgo di sotto;Cividale del friuli;15636.514719105655;20;127;170.5098114013672;43.50981140136719
Cerneglons ponte;Cividale del friuli;9451.065657286037;16;127;87.30888366699219;39.69111633300781
Povoletto;Cividale del friuli;9805.342798304933;16;127;131.51287841796875;4.51287841796875
Togliano;Cividale del friuli;5068.574854916102;17;127;157.20269775390625;30.20269775390625
Selvis;Cividale del friuli;6782.647151753441;16;127;98.00841522216797;28.99158477783203
Cerneglons;Cividale del friuli;8355.46756203407;16;127;91.393829345703125;35.606170654296875
Orzano;Cividale del friuli;5235.737999960712;18;127;100.03337860107422;26.96662139892578
Azzida;Cividale del friuli;7153.1203298732735;16;127;176.23768615722656;49.23768615722656
Cividale istituto agrario;Cividale del friuli;1814.4397963424344;14;127;132.30323791503906;5.3032379150390625
Cividale ponte del diavolo;Cividale del friuli;1438.552162012767;12;127;132.68756103515625;5.68756103515625
Albana;Cividale del friuli;6481.3813611120095;18;127;134.72122192382812;7.721221923828125
Cormons;Cividale del friuli;13935.39801558931;17;127;79.207275390625;47.792724609375
Giasbana;Cividale del friuli;17350.94123159383;17;127;154.22291564941406;27.222915649414062
Ponte della delizia casello c.b.c.m.;Codroipo;8885.939329230183;32;37;46.997962951660156;9.997962951660156
Ponte della delizia;Codroipo;8074.760380982294;16;37;43.79997634887695;6.799976348876953
Varmo casello idraulico c.b.b.f.;Codroipo;8318.80823865657;27;37;13.007050514221191;23.99294948577881
Madrisio ponte sul tagliamento;Codroipo;10414.505678726433;25;37;11.814027786254883;25.185972213745117
Latisana;Codroipo;19978.23466796848;8;37;5.5133056640625;31.4866943359375
Latisana scala;Codroipo;19991.473088793948;14;37;5.5133056640625;31.4866943359375
Casali grinta;Codroipo;12275.425196800525;11;37;6.3910627365112305;30.60893726348877
San martino al tagliamento;Codroipo;14022.579416804841;22;37;69.169464111328125;32.169464111328125
Arzenutto;Codroipo;12492.394711706076;8;37;63.39314270019531;26.393142700195312
San vito al tagliamento ospedale;Codroipo;12360.091389777042;29;37;27.80974006652832;9.19025993347168
San vito al tagliamento cimitero;Codroipo;10778.174193508117;28;37;32.09159469604492;4.908405303955078
Stalis;Codroipo;15710.335225801744;7;37;10.510129928588867;26.489870071411133
Sesto al reghena;Codroipo;18598.28585688287;14;37;10.6888427734375;26.3111572265625
Mure;Codroipo;19773.84459203813;7;37;8.119863510131836;28.880136489868164
Pescincanna;Codroipo;19694.254145917763;11;37;21.79218864440918;15.20781135559082
Biauzzo;Codroipo;4993.36609383878;7;37;44.248985290527344;7.248985290527344
Codroipo centro;Codroipo;2208.744943200411;7;37;37.96499252319336;0.9649925231933594
Campomolle;Codroipo;11709.058265759933;8;37;7.805864334106445;29.194135665893555
Teor;Codroipo;11777.91947938211;7;37;7.206847667694092;29.793152332305908
Flambruzzo;Codroipo;9094.421110992085;8;37;11.445226669311523;25.554773330688477
Flambruzzo villa badoglio;Codroipo;9165.218642990087;21;37;11.445226669311523;25.554773330688477
Case zoncolan;Codroipo;10369.592015074806;10;37;10.054102897644043;26.945897102355957
Ariis;Codroipo;11083.298116777927;6;37;10.054102897644043;26.945897102355957
Ariis cimitero;Codroipo;11619.361883456584;12;37;9.479960441589355;27.520039558410645
Ariis parco;Codroipo;10936.824966649572;9;37;10.054102897644043;26.945897102355957
Ariis centro e.t.p.;Codroipo;10937.183737640255;16;37;10.054102897644043;26.945897102355957
Casali sacile;Codroipo;11654.58561199814;11;37;7.9696431159973145;29.030356884002686
Casali petazzo;Codroipo;12280.603371198446;10;37;7.9478759765625;29.0521240234375
Pocenia;Codroipo;14429.207317618817;6;37;5.05306339263916;31.94693660736084
Case trevisan;Codroipo;17254.25096446744;10;37;2.4833574295043945;34.516642570495605
Casali gambellini;Codroipo;13784.531971890681;15;37;5.7831902503967285;31.21680974960327
Latisana crosere;Codroipo;18510.520270401285;14;37;1.522046685218811;35.47795331478119
Rivarotta;Codroipo;16000.95186635362;7;37;2.0823349952697754;34.917665004730225
Precenicco;Codroipo;19234.410405802846;8;37;1;36
Pocenia zona industriale;Codroipo;15789.529713649603;21;37;5.951496601104736;31.048503398895264
Palazzolo dello stella;Codroipo;17488.11110382333;19;37;1.3652523756027222;35.63474762439728
Casa di guardia;Codroipo;8395.555101769869;12;37;17.048948287963867;19.951051712036133
Codroipo;Codroipo;2022.0462550518578;0;37;42.48942565917969;5.4894256591796875
Zompicchia;Codroipo;1387.0717403201377;9;37;42.523799896240234;5.523799896240234
Goricizza caserme;Codroipo;2827.353137295437;15;37;41.91107940673828;4.911079406738281
Codroipo ponte sp. 65;Codroipo;917.6412049183975;13;37;37.40613555908203;0.40613555908203125
Molino vecchio;Codroipo;8740.530976925385;11;37;11.674541473388672;25.325458526611328
Sivigliano;Codroipo;8759.023907930345;8;37;11.674541473388672;25.325458526611328
Turrida;Codroipo;9606.423028456378;6;37;73.52359771728516;36.523597717285156
Lestizza;Codroipo;10286.554939548576;8;37;38.815711975097656;1.8157119750976562
Villacaccia;Codroipo;5726.991139009447;11;37;46.654701232910156;9.654701232910156
Villaorba;Codroipo;8241.329691335875;8;37;67.18202209472656;30.182022094726562
San lorenzo di sedegliano;Codroipo;5429.521247432645;21;37;63.10237121582031;26.102371215820312
Rivolto;Codroipo;1457.7465014278753;6;37;37.384830474853516;0.3848304748535156
Talmassons;Codroipo;9167.935783638102;9;37;25.050640106201172;11.949359893798828
Pantianicco;Codroipo;7440.721864876197;9;37;69.67994689941406;32.67994689941406
Casello f.s.;Codroipo;17738.14129947487;10;37;2.4833574295043945;34.516642570495605
Casa longo;Codroipo;17862.330927511677;7;37;2.4833574295043945;34.516642570495605
Basaldella di campoformido;Codroipo;18002.137256542155;22;37;85.4479751586914;48.447975158691406
Pozzuolo del friuli;Codroipo;15440.151233851686;16;37;64.30040740966797;27.30040740966797
Mortegliano;Codroipo;13742.657140066658;8;37;42.066070556640625;5.066070556640625
Castions di strada;Codroipo;15753.761148382782;15;37;20.14171028137207;16.85828971862793
Cormor paradiso;Codroipo;14565.35201519224;10;37;11.960711479187012;25.03928852081299
Sant'andrat del cormor;Codroipo;13062.925892504336;18;37;22.43624496459961;14.56375503540039
Zavattina;Codroipo;17987.37537605546;8;37;6.220213413238525;30.779786586761475
Muzzana del turgnano ponte ss 14;Codroipo;17865.487453571393;27;37;3.7311344146728516;33.26886558532715
Ponte ss 252 km 13;Codroipo;12950.408164486662;17;37;26.271743774414062;10.728256225585938
Ponte ss 252 km 14;Codroipo;14347.071326684227;17;37;26.311248779296875;10.688751220703125
Zellina;Codroipo;18951.376669862915;7;37;5.650354385375977;31.349645614624023
Zellina ponte ferrovia;Codroipo;19259.547843933557;19;37;5.650354385375977;31.349645614624023
Risano case moschioni;Codroipo;19622.022902444183;18;37;62.54551315307617;25.545513153076172
Gris cuccana;Codroipo;18055.77051637703;12;37;37.09934997558594;0.0993499755859375
Tramonti di sopra;Enemonzo;12546.408344724092;13;438;438.9981689453125;0.9981689453125
Tramonti di sotto scuole nuove;Enemonzo;13579.434253698057;26;438;392.0475769042969;45.952423095703125
Invillino madonna del ponte;Enemonzo;5212.603183362122;22;438;424.45892333984375;13.54107666015625
Esemon di sotto;Enemonzo;3406.855854405759;9;438;406.49676513671875;31.50323486328125
Villa santina;Enemonzo;3865.3565351991174;12;438;436.5908508300781;1.409149169921875
Cedarchis;Enemonzo;14281.389026283752;9;438;413.8949279785156;24.105072021484375
San francesco;Enemonzo;12281.532547470917;10;438;474.9407958984375;36.9407958984375
San francesco ponte;Enemonzo;12114.063002441153;15;438;474.9407958984375;36.9407958984375
Artegna;Faedis;18871.87067004587;6;158;198.69320678710938;40.693206787109375
Magnano in riviera;Faedis;18064.38315102033;16;158;198.69320678710938;40.693206787109375
Fagagna poliambulatorio;Faedis;19802.95598997396;20;158;195.93162536621094;37.93162536621094
Colloredo di monte albano;Faedis;16368.001649111842;22;158;178.78968811035156;20.789688110351562
Alnicco;Faedis;14549.050300627212;7;158;169.3649139404297;11.364913940429688
Castellerio;Faedis;12856.98097402786;8;158;153.6357421875;4.3642578125
Pagnacco;Faedis;12275.126204726908;7;158;139.8948516845703;18.105148315429688
Moruzzo;Faedis;17537.595512390937;7;158;206.84463500976562;48.844635009765625
Colugna;Faedis;13213.675615254646;7;158;124.73239135742188;33.267608642578125
Rizzi;Faedis;12956.351032202987;5;158;117.85282897949219;40.14717102050781
Udine castello;Faedis;11836.701463951777;12;158;114.83202362060547;43.16797637939453
Tavagnacco;Faedis;10636.188004027663;9;158;154.57325744628906;3.4267425537109375
Tricesimo;Faedis;10868.649670002831;7;158;175.9977569580078;17.997756958007812
Adegliacco;Faedis;9800.428172975697;8;158;136.69041442871094;21.309585571289062
Feletto umberto;Faedis;10355.303855922815;13;158;130.2279510498047;27.772048950195312
Qualso ponte di nimis;Faedis;9904.790465812115;16;158;204.3143768310547;46.31437683105469
Zompitta presa c.b.l.t.;Faedis;8591.290949968115;21;158;189.82723999023438;31.827239990234375
Zompitta borgo di sotto;Faedis;8037.470599823884;19;158;170.5098114013672;12.509811401367188
Molmentet;Faedis;9059.749878384533;8;158;193.34390258789062;35.343902587890625
Povoletto;Faedis;3592.8450702039213;8;158;131.51287841796875;26.48712158203125
Togliano;Faedis;3294.2311335340714;7;158;157.20269775390625;0.79730224609375
Faedis;Faedis;1888.993344166691;0;158;195.8324432373047;37.83244323730469
Faedis campo sportivo;Faedis;1620.1945816137595;15;158;195.8324432373047;37.83244323730469
Torreano;Faedis;6092.325352593345;7;158;182.72909545898438;24.729095458984375
Azzida;Faedis;11162.105311020368;6;158;176.23768615722656;18.237686157226562
Cividale istituto agrario;Faedis;6610.745828712342;21;158;132.30323791503906;25.696762084960938
Cividale ponte del diavolo;Faedis;7704.587844099084;22;158;132.68756103515625;25.31243896484375
Albana;Faedis;14329.265423671957;6;158;134.72122192382812;23.278778076171875
Rauscedo stazione di pompaggio c.b.c.m.;Fagagna;19721.891523607545;35;148;104.90544128417969;43.09455871582031
Gemona canciane;Fagagna;18861.37818661563;12;148;189.93775939941406;41.93775939941406
Osoppo;Fagagna;14998.291696909502;7;148;168.62107849121094;20.621078491210938
Andreuzza;Fagagna;11397.59873497006;8;148;160.34323120117188;12.343231201171875
Pinzano;Fagagna;12934.486032443354;6;148;149.7477569580078;1.7477569580078125
Villuzza;Fagagna;12691.287067085283;7;148;194.49880981445312;46.498809814453125
Vacile;Fagagna;15143.734004528229;6;148;154.6710205078125;6.6710205078125
Baseglia;Fagagna;13649.282742588499;5;148;129.8436279296875;18.1563720703125
Barbeano;Fagagna;17446.247929006946;6;148;113.07208251953125;34.92791748046875
Istrago;Fagagna;15089.514923062285;6;148;129.85023498535156;18.149765014648438
